country,region,name,latitude,longitude
NZ,0,Taupo,-38.6833,176.0833
NZ,0,Levin,-40.6333,175.275
NZ,0,Gordon,-37.7,175.8333
NZ,0,Havelock,-41.2833,173.7667
NZ,0,Penrose,-36.9167,174.8167
NZ,0,Kaikoura,-42.4167,173.6833
NZ,0,Elgin,-43.95,171.8167
NZ,0,Kelburn,-41.2833,174.7667
NZ,0,Fairfax,-46.2,168.05
NZ,0,Newton,-36.85,174.75
NP,0,Jawalakhel,27.6667,85.3167
NP,0,Pokhara,28.2333,83.9833
NP,0,Biratnagar,26.4833,87.2833
NP,0,Bhairawa,27.5,83.45
NP,0,Palpa,27.8667,83.4833
NP,0,Birgunj,27,84.8667
NP,0,Janakpur,26.7,85.9167
NP,0,Bhadrapur,26.5333,88.0833
HK,0,Kowloon Tong,22.3333,114.1833
HK,0,Tsz Wan Shan,22.35,114.2
HK,0,Ma On Shan,22.4,114.2333
HK,0,Aberdeen,22.25,114.15
HK,0,Lam Tei,22.4167,113.9833
HK,0,Tung Chung,22.2833,113.95
HK,0,Kat O,22.55,114.2833
HK,0,Yuen Long Town,22.4333,114.0333
HK,0,Cheung Chau,22.2167,114.0167
HK,0,Kennedy Town,22.2833,114.1167
HK,0,Wong Tai Sin,22.35,114.1833
HK,0,Shek Tong Tsui,22.2833,114.1333
HK,0,Shau Kei Wan,22.2833,114.2167
HK,0,Chung Hau,22.2333,114
HK,0,Wong Wan,22.5167,114.3
HK,0,Ping Yeung,22.5333,114.1667
HK,0,Lo So Shing,22.2,114.1167
HK,0,Sha Tau Kok,22.55,114.2167
HK,0,Tai Hang,22.2833,114.1833
HK,0,Chung Mei,22.5,114.2333
HK,0,Tseung Kwan O,22.3333,114.25
HK,0,San Tong,22.45,114.1333
HK,0,San Po Kong,22.3333,114.2
AU,0,Longridge,-29.05,167.9333
HK,0,Wong Chuk Hang,22.3833,114.35
SG,0,Tanjong Pagar,1.2833,103.8333
HK,0,Shan Mei,22.4,114.1833
HK,0,Tai Tung,22.4333,114.2667
HK,0,Chung Wai,22.4667,114.35
HK,0,Hung Hom,22.3,114.1833
HK,0,Chai Wan Kok,22.3833,114.1
HK,0,Fanling,22.5,114.1333
HK,0,Fa Yuen,22.2833,114.2167
HK,0,Hang Mei,22.25,113.8667
SG,0,Paya Lebar,1.3539,103.8906
HK,0,Yau Tam Mei,22.4833,114.05
HK,0,Wah Fu,22.25,114.1333
HK,0,Victoria,22.2875,114.1442
HK,0,Peng Chau,22.2833,114.0333
HK,0,Kam Tsin,22.5,114.1167
HK,0,Pak Tin,22.3333,114.1667
HK,0,Yuen Kong,22.4333,114.0667
HK,0,Mui Wo,22.2667,113.9833
HK,0,Epworth Village,22.2667,114.2333
NZ,0,Tokoroa,-38.2333,175.8667
HK,0,San Tsuen,22.3833,114.1167
HK,0,Tai Pak,22.3,114.0167
HK,0,Shek Wai Kok,22.3833,114.1167
HK,0,Cheung Sha Wan,22.2333,114
HK,0,Kowloon City,22.3333,114.1833
HK,0,Ma Tau Wai,22.3167,114.1833
HK,0,Hung Shui,22.2833,114
SG,0,King Albert Park,1.3344,103.7797
SG,0,Bukit Timah,1.3403,103.7758
SG,0,Jurong West,1.3503,103.7228
SG,0,Tanglin,1.3167,103.8167
SG,0,Ghim Moh,1.3111,103.7878
HK,0,Wan Tau Tong,22.45,114.1667
HK,0,Lin Fa Tei,22.4333,114.0833
HK,0,Sham Shui Po,22.3333,114.15
SG,0,Holland Village,1.3119,103.7933
NZ,0,Waiuku,-37.25,174.75
HK,0,Sam Cheung,22.3667,114.05
HK,0,Fu Tei,22.4167,113.9833
NZ,0,Rowan,-39.4,174.1167
SG,0,Nee Soon,1.4028,103.8178
HK,0,Yau Tong,22.3,114.2333
HK,0,Tai Wo,22.35,114.1333
NZ,0,Bankside,-43.7,172.0833
HK,0,Shek Pai Tau,22.4,113.9667
HK,0,Sai Wan Ho,22.2833,114.2167
BN,0,Kampong Binchaya,4.7333,114.5667
BN,0,Kampong Bunot,4.85,114.8833
RS,0,Plocica,42.5897,20.7625
KY,0,George Town,19.3,-81.3833
HK,0,Ngau Kok Wan,22.3667,114.0833
HK,0,Chek Chue,22.2167,114.2
HK,0,Chin Lan Chun,22.3333,114.2333
HK,0,North Point Estate,22.3,114.2
HK,0,Fong Ma Po,22.45,114.1333
HK,0,Pak Wan,22.35,114.0667
NZ,0,Waiouru,-39.4833,175.6667
NZ,0,North Shore,-36.8,174.75
NZ,0,Bombay,-37.1667,174.9833
NZ,0,Te Kauwhata,-37.4,175.15
NZ,0,Te Horo,-40.8,175.1
NZ,0,Otaki,-40.7583,175.15
HK,0,New Kowloon,22.3333,114.15
HK,0,Fui Yiu,22.35,114.1333
HK,0,Peang,22.2833,114.0333
HK,0,Ha Yau Tin,22.4333,114.0333
HK,0,Ng Tung Chai,22.4333,114.1333
HK,0,Shek Kip Mei,22.3333,114.1667
HK,0,Chung Kwai Chung,22.3667,114.1333
NZ,0,Meremere,-39.5833,174.3833
NZ,0,Maungaturoto,-36.1,174.3667
NZ,0,Paeroa,-37.3667,175.6667
NZ,0,Bulls,-40.1667,175.3833
NZ,0,Waverley,-39.7667,174.6333
NZ,0,Eltham,-39.4292,174.3
NZ,0,Mamaku,-38.1,176.0833
NZ,0,Wellsford,-36.2833,174.5167
NZ,0,Waihi,-37.3833,175.8333
NZ,0,Kerikeri,-35.2167,173.9667
NZ,0,Ngatea,-37.2833,175.5
NZ,0,Waharoa,-37.7667,175.7667
NZ,0,Glenorchy,-44.85,168.3833
HK,0,Fung Wong Village,22.35,114.2
HK,0,Chun Fa Lok,22.3333,114.1
HK,0,Sai Ying Pun,22.2833,114.1333
HK,0,Sam Chuen,22.35,114.05
HK,0,Chiu-lung-ku-ch'eng,22.3333,114.1833
HK,0,Tin Fu Tsai,22.4,114.0667
HK,0,Tsing Fai Tong,22.3833,114.0667
HK,0,Tai Wo Ping,22.35,114.1667
HK,0,Kon Tong,22.3167,114.2167
HK,0,Tsing Lung Tau,22.36,114.0444
BN,0,Kuala Belait,4.5833,114.1833
BN,0,Rasau,4.55,114.2167
BN,0,Seria,4.6167,114.3167
BN,0,Kampong Bibit,4.8833,114.9
BN,0,Kampong Timbunan,4.95,114.9667
BN,0,Kampong Berakas,4.9333,114.95
BN,0,Kampong Sungai Liang Kechil,4.6667,114.4833
BN,0,Kampong Sinaut,4.8167,114.75
BN,0,Sengkurong,4.8833,114.8333
BN,0,Panaga,4.6,114.2833
BN,0,Kampong Rendangan,4.8333,114.8333
BN,0,Binchaya,4.7333,114.5667
HK,0,Yung Shue Wan,22.2333,114.1167
HK,0,Chiu-lung,22.3167,114.1833
HK,0,Kings Park,22.3167,114.1667
HK,0,Cheung Pei Shan,22.3833,114.1333
HK,0,Nam Wan,22.35,114.0833
HK,0,Sai Wan Estate,22.2833,114.1333
RS,0,Srbobran,42.7275,20.4847
RS,0,Becej,45.6189,20.0361
RS,0,Palic,46.1089,19.7672
RS,0,Backa Topola,45.815,19.6361
RS,0,Telecka,45.7956,19.3808
KY,0,Bodden Town,19.2833,-81.25
KY,0,West Bay,19.3667,-81.4167
RS,0,Crvenka,44.8622,20.4167
RS,0,Novi Banovci,44.9547,20.2819
RS,0,Karlovicz,45.0803,20.1767
RS,0,Senta,45.9275,20.0772
RS,0,Jakovo,44.7564,20.2606
RS,0,Krusevac,42.5772,20.3528
RS,0,Mol,45.7642,20.1311
RS,0,Curug,45.4731,20.0714
RS,0,Ljig,44.2244,20.2403
RS,0,Kostolac,44.7119,21.1689
RE,0,Entre-Deux,-21.2333,55.4667
MQ,0,Ducos,14.5667,-60.9833
GP,0,Les Abymes,16.2667,-61.5
GP,0,Le Gosier,16.2,-61.4833
RE,0,Saint-Paul,-21,55.2667
RE,0,Saint-Louis,-21.2667,55.4167
RE,0,Saint-Denis,-20.8667,55.4667
RE,0,La Possession,-20.9167,55.3333
RE,0,Saint-Leu,-21.15,55.2833
GP,0,Le Moule,16.3333,-61.3333
GP,0,Baie-Mahault,16.2667,-61.5833
RE,0,Cilaos,-21.1167,55.4667
RE,0,Les Trois-Bassins,-21.1,55.3
MQ,0,Le Lamentin,14.6,-61
MQ,0,Fort-de-France,14.6,-61.0833
MQ,0,Saint-Joseph,14.6667,-61.0333
MQ,0,Gros-Morne,14.7,-61
